Grafo 0:
Vertices: 23
Arestas:
0 19
0 7
0 13
0 4
0 15
0 16
0 12
0 14
0 18
0 10
0 5
0 11
1 17
1 8
1 7
1 6
1 3
2 14
2 19
2 17
2 15
2 6
2 5
2 16
2 10
3 5
3 13
3 19
3 21
3 7
3 16
3 12
3 14
4 6
4 11
4 17
4 13
4 19
5 7
5 19
5 18
5 14
5 16
6 9
6 17
6 10
6 11
6 16
6 8
6 14
7 13
7 14
7 8
7 17
7 11
8 22
8 10
8 14
8 21
9 21
9 11
9 14
9 16
9 19
10 16
10 14
10 15
10 11
10 22
10 19
10 21
11 13
11 16
12 20
12 18
13 17
14 21
14 22
14 17
15 19
15 22
15 20
15 16
16 19
17 18
18 21
18 19
18 20
19 21
19 20

Grafo 1:
Vertices: 94
Arestas:
0 75
0 27
0 6
0 23
0 46
0 4
0 36
0 79
0 31
0 54
0 13
0 26
0 55
0 1
0 9
0 67
0 59
0 19
0 7
0 34
0 48
0 43
0 12
0 70
0 84
0 37
0 65
0 41
0 63
0 72
0 64
0 51
0 14
0 42
0 87
0 45
0 86
0 77
0 2
0 58
0 38
0 10
0 22
0 92
0 71
0 82
0 29
0 80
0 52
0 3
0 91
0 28
0 8
1 83
1 2
1 35
1 63
1 84
1 92
1 16
1 87
1 82
1 45
1 49
1 79
1 67
1 86
1 48
1 59
1 71
1 52
1 57
1 77
1 85
1 7
1 11
1 38
1 91
1 64
1 89
1 10
1 60
1 75
1 36
1 70
1 69
1 23
1 50
1 40
1 6
1 56
1 37
1 44
1 22
1 31
1 73
1 76
1 24
1 8
1 26
1 34
1 19
1 42
1 72
1 62
1 65
2 12
2 11
2 67
2 5
2 66
2 25
2 10
2 52
2 73
2 9
2 51
2 61
2 81
2 84
2 85
2 7
2 20
2 17
2 82
2 53
2 59
2 64
2 55
2 83
2 16
2 89
2 29
2 71
2 72
2 33
2 30
2 28
2 87
2 93
2 14
2 63
2 32
2 69
2 65
2 36
2 13
2 57
2 31
2 79
2 75
2 24
2 74
2 26
2 8
2 27
2 39
2 21
2 43
2 48
2 45
2 34
2 19
3 28
3 63
3 85
3 24
3 42
3 9
3 11
3 58
3 14
3 16
3 52
3 46
3 70
3 47
3 5
3 23
3 6
3 60
3 71
3 55
3 10
3 80
3 76
3 87
3 54
3 86
3 39
3 79
3 18
3 64
3 4
3 37
3 29
3 40
3 25
3 75
3 48
3 15
3 17
3 61
3 66
3 67
3 73
4 77
4 16
4 23
4 26
4 5
4 70
4 58
4 66
4 25
4 59
4 36
4 30
4 50
4 84
4 13
4 33
4 31
4 93
4 14
4 76
4 15
4 57
4 56
4 52
4 53
4 21
4 90
4 82
4 83
4 37
4 87
4 80
4 89
4 81
4 46
4 20
4 64
4 24
4 54
4 40
4 51
4 38
4 43
4 11
4 32
4 86
4 69
4 92
4 10
5 38
5 46
5 29
5 66
5 51
5 28
5 87
5 47
5 13
5 77
5 60
5 33
5 7
5 27
5 73
5 31
5 21
5 57
5 43
5 34
5 45
5 26
5 61
5 36
5 49
5 9
5 82
5 50
5 65
5 64
5 11
5 86
5 76
5 70
5 20
5 37
5 14
5 16
5 32
5 10
5 62
5 42
5 63
5 71
5 41
5 80
5 83
6 40
6 34
6 83
6 43
6 30
6 77
6 26
6 78
6 23
6 10
6 19
6 53
6 79
6 84
6 21
6 65
6 60
6 22
6 32
6 54
6 85
6 28
6 76
6 70
6 39
6 61
6 69
6 46
6 37
6 25
6 81
6 8
6 73
6 80
6 72
6 62
6 89
6 75
6 74
6 44
6 50
6 57
6 47
6 90
6 38
7 72
7 89
7 75
7 42
7 53
7 33
7 80
7 11
7 83
7 23
7 40
7 60
7 35
7 58
7 47
7 54
7 44
7 30
7 28
7 20
7 43
7 22
7 69
7 63
7 12
7 39
7 18
7 32
7 46
7 88
7 61
7 71
7 73
7 37
7 24
7 14
7 92
7 25
7 16
7 21
7 90
7 84
8 77
8 49
8 24
8 45
8 72
8 89
8 62
8 54
8 14
8 41
8 76
8 69
8 15
8 57
8 44
8 63
8 68
8 58
8 22
8 48
8 11
8 52
8 82
8 25
8 67
8 80
8 17
8 40
8 12
8 81
8 13
8 10
8 29
8 71
8 51
8 32
8 61
8 36
8 56
8 21
8 92
8 70
8 83
8 90
8 65
9 55
9 92
9 23
9 72
9 54
9 40
9 91
9 79
9 51
9 47
9 19
9 75
9 63
9 71
9 37
9 58
9 73
9 22
9 66
9 15
9 56
9 93
9 61
9 50
9 26
9 83
9 38
9 42
9 11
9 13
9 84
9 16
9 65
9 74
9 64
9 57
9 20
9 14
9 27
9 10
9 76
9 29
9 30
9 48
9 41
9 18
10 89
10 39
10 92
10 68
10 36
10 72
10 15
10 37
10 30
10 65
10 24
10 55
10 57
10 20
10 81
10 38
10 32
10 40
10 11
10 51
10 63
10 35
10 61
10 83
10 17
10 46
10 93
10 78
10 90
10 85
10 27
10 33
10 88
10 31
10 75
10 50
10 73
10 14
10 13
10 42
10 77
10 12
10 91
10 58
10 47
11 29
11 42
11 53
11 47
11 52
11 59
11 19
11 20
11 91
11 88
11 27
11 74
11 25
11 77
11 85
11 36
11 37
11 73
11 58
11 79
11 80
11 82
11 61
11 83
11 49
11 63
11 64
11 71
11 86
11 13
11 70
11 90
11 89
11 39
11 21
11 28
11 50
12 63
12 64
12 30
12 16
12 61
12 67
12 83
12 21
12 24
12 56
12 59
12 40
12 26
12 31
12 28
12 53
12 32
12 19
12 47
12 22
12 42
12 50
12 81
12 60
12 58
12 91
12 35
12 18
12 72
12 78
12 90
12 76
12 43
12 85
12 39
12 51
12 25
12 84
12 75
12 13
12 70
12 74
12 44
12 77
12 17
12 49
13 71
13 21
13 66
13 87
13 40
13 81
13 35
13 47
13 53
13 44
13 86
13 25
13 43
13 30
13 17
13 27
13 74
13 77
13 14
13 83
13 51
13 65
13 15
13 56
13 72
13 19
13 63
13 33
13 57
13 28
13 84
13 32
13 85
13 34
13 76
13 61
13 88
13 23
13 36
13 64
13 73
13 90
13 22
14 74
14 22
14 57
14 19
14 70
14 71
