Grafo 0:
0 - 4
1 - 7
2 - 17
3 - 19
4 - 6
5 - 16
6 - 11
7 - 14
8 - 22
9 - 21
10 - 15
11 - 13
12 - 18
15 - 20

Grafo 1:
0 - 91
1 - 73
2 - 93
3 - 87
4 - 92
5 - 86
6 - 90
7 - 71
8 - 89
9 - 83
10 - 47
11 - 21
12 - 84
13 - 72
14 - 80
15 - 85
16 - 88
17 - 75
18 - 23
19 - 79
20 - 60
21 - 38
22 - 78
23 - 51
24 - 70
25 - 82
26 - 76
27 - 81
28 - 77
29 - 35
30 - 63
31 - 62
32 - 53
33 - 74
34 - 50
35 - 68
36 - 56
37 - 54
38 - 41
39 - 57
40 - 66
41 - 69
42 - 45
43 - 64
44 - 67
45 - 46
46 - 59
47 - 55
48 - 52
49 - 61
51 - 58
52 - 65

Grafo 2:
0 - 81
1 - 80
2 - 35
3 - 48
4 - 37
5 - 77
6 - 79
7 - 43
8 - 51
9 - 58
10 - 76
11 - 71
12 - 16
13 - 45
14 - 49
15 - 23
16 - 69
17 - 59
18 - 41
19 - 60
20 - 67
21 - 53
22 - 65
23 - 39
24 - 61
25 - 68
26 - 50
27 - 78
28 - 36
29 - 75
30 - 52
31 - 57
32 - 38
33 - 34
35 - 55
36 - 74
38 - 46
39 - 44
40 - 66
42 - 56
48 - 73
49 - 72
51 - 70
52 - 64
54 - 62
56 - 63

Grafo 3:
0 - 2
1 - 5
2 - 9
3 - 7
4 - 6

Grafo 4:
0 - 10
1 - 49
2 - 52
3 - 38
4 - 48
5 - 23
6 - 18
7 - 42
8 - 41
9 - 39
10 - 51
11 - 13
12 - 21
13 - 35
14 - 50
15 - 24
16 - 29
17 - 44
18 - 36
19 - 45
20 - 37
21 - 46
22 - 32
26 - 47
27 - 33
30 - 43
33 - 34
34 - 40

Grafo 5:
1 - 15
2 - 10
3 - 7
4 - 19
5 - 18
6 - 12
8 - 17
9 - 14

Grafo 6:
0 - 36
1 - 10
2 - 23
3 - 24
4 - 15
5 - 30
7 - 21
8 - 13
9 - 20
11 - 35
12 - 19
13 - 34
14 - 32
15 - 31
19 - 26
20 - 22
25 - 29
26 - 33

Grafo 7:
0 - 50
1 - 44
2 - 25
3 - 29
4 - 34
5 - 49
6 - 39
7 - 45
8 - 19
9 - 28
10 - 37
11 - 27
12 - 38
13 - 31
14 - 24
16 - 36
17 - 41
18 - 42
22 - 46
23 - 43
24 - 48
26 - 40
30 - 47
32 - 33

Grafo 8:
0 - 15
1 - 14
2 - 11
3 - 13
4 - 9
5 - 12
6 - 10

Grafo 9:
0 - 16
1 - 15
2 - 14
3 - 13
4 - 9
5 - 12
6 - 10
7 - 11

Grafo 10:
0 - 53
1 - 48
2 - 52
3 - 50
4 - 39
5 - 47
6 - 51
7 - 29
8 - 32
9 - 40
10 - 43
11 - 49
12 - 46
13 - 35
14 - 25
15 - 44
16 - 42
17 - 34
18 - 41
19 - 22
20 - 33
21 - 23
22 - 38
23 - 37
26 - 45
27 - 36
28 - 31

Grafo 11:
0 - 78
1 - 77
2 - 73
3 - 76
4 - 66
5 - 74
6 - 75
7 - 72
8 - 51
9 - 67
10 - 65
11 - 62
12 - 71
13 - 61
14 - 28
15 - 68
16 - 70
17 - 35
18 - 58
19 - 38
